,ア・プリオリ主義,システム哲学,プラグマティズム,プロセス哲学,ポスト実証主義,演繹主義,確率論,帰納主義,規範的介入主義,規範的国家主義,客観主義,共産主義,形式主義,経験主義,決定論,構造主義,実証主義,社会構築主義,進化主義,制度主義,創発的個人主義,道具主義,反決定論,批判的実在論,方法論的個人主義,方法論的集団主義,有機体論,リバタリアリズム,歴史主義
スラッファ派/新リカード派,4,4,2,2,4,4,1,2,2,1,4,1,4,3,4,4,2,2,3,3,2,2,2,4,2,4,3,1,4
ニュー・ケインズ派（新しい新古典派総合の一派？）,3,3,4,3,2,4,4,3,3,2,4,1,5,3,2,3,2,2,2,3,3,5,3,3,4,2,3,3,2
ポスト・ケインズ派,2,4,4,4,5,3,4,4,4,3,3,1,4,4,2,4,3,3,4,4,2,2,5,5,2,4,4,2,4
マルクス経済学,4,4,2,4,4,4,2,2,5,1,2,5,3,3,4,5,2,4,5,4,2,2,2,5,1,5,3,1,5
リアル・ビジネス・サイクル理論,5,2,2,3,1,4,4,2,1,1,5,1,5,2,3,2,1,1,1,1,1,5,1,2,5,1,1,4,1
リフレ派,3,3,5,3,2,3,3,3,4,2,3,1,4,3,3,3,2,2,3,3,2,4,3,3,4,2,3,3,2
レギュラシオン学派,2,5,3,5,5,2,3,4,5,4,2,3,3,5,3,5,2,4,5,5,2,2,3,5,2,5,4,1,5
新オーストリア学派,5,2,1,4,5,5,3,1,1,1,2,1,3,1,2,2,2,5,2,2,5,1,5,3,5,1,3,5,3
新しい古典派,5,2,2,2,1,5,4,2,1,1,5,1,5,2,3,2,2,1,1,1,1,5,1,2,5,1,1,4,1
新しい新古典派総合/新しいコンセンサス・モデル,4,3,4,3,2,4,4,3,2,2,4,1,5,3,3,3,1,1,1,2,2,5,2,2,4,2,2,3,2
新制度経済学,3,4,4,4,4,3,2,4,3,2,3,1,4,4,3,3,4,4,3,5,4,3,3,4,4,3,4,3,3
現代制度経済学,2,4,4,5,4,3,3,5,4,3,2,1,3,5,2,5,3,4,4,5,4,2,4,5,3,4,5,2,4
現代貨幣理論,3,3,5,3,4,3,3,4,4,4,3,1,3,4,3,4,3,2,4,4,2,2,3,4,2,4,3,2,3
複雑系経済学,3,5,3,5,4,1,5,5,3,2,3,1,4,4,2,4,3,5,3,3,4,2,4,4,2,2,5,3,3
進化経済学,2,5,3,5,4,1,5,5,3,2,3,1,3,4,1,4,3,5,3,3,5,2,5,4,2,2,5,3,4
